бермудские острова	l21546
северная территория	r21638
юлара	c29199
алис-спрингс	c20839
дарвин	c21456
гов	c36681
альянгула	c29205
нуйу	c29197
милингимби	c37167
макартер-ривер	c29200
манингрида	c29201
остров элчо	c29203
южная австралия	r21639
гранитс	c29198
кингскот	c29149
аделаида	c20774
макмахон-кемп	c37313
маунт-гансон	c39539
порт-огаста	c29154
порт-линкольн	c29155
седуна	c29156
уайалла	c29157
кубер-педи	c29150
маунт-гамбир	c36790
наракурт	c29152
олимпик-дам	c29153
виктория	r21643
портленд	c28948
маунт-хофам	c39373
мельбурн	c21265
джелонг	c24401
гамильтон	c37311
милдьюра	c29151
квинсленд	r21642
куктаун	c40753
тара	c29017
саншайн-кост	c29188
осборн-майн	c40137
уэйпа	c29190
хьюэнден	c29191
херви-бэй	c29192
чарлевиль	c29193
помпурау	c29194
эмералд	c29195
таргоминда	c29196
хейман-айленд	c36687
рома	c29187
инкерман	c28893
ричмонд	c28953
винтон	c29170
обан	c28936
бандаберг	c29161
бамага	c29160
барктаун	c29163
гладстон	c29171
билоела	c29165
бедуир	c29164
блакол	c29167
бирдсвиль	c29166
виндора	c29169
клонкурри	c29176
остров хорн	c29206
морнингтон-айленд	c29202
сен-джордж	c29159
аррабури	c22266
таунсвилл	c10146
клермонт	c28900
кэрнс	c24400
тувумба	c29189
булия	c29168
данк-айленд	c39649
рокгемптон	c29186
просерпайн	c29185
нормантон	c29184
моранба	c29183
лонгрич	c29182
локарт-ривер	c29181
маунт-айза	c36680
брисбен	c21210
эрли-бич	c37185
джорджтаун	c28888
голд-кост	c29172
джулия-крик	c29173
остров гамильтон	c29219
маккай	c29218
аурукун	c29158
кованьяма	c29177
думадги	c29174
каннамалла	c29175
баркалдин	c29162
коен	c29178
куилпи	c29179
тасмания	r21641
джорджтаун	c28889
хобарт	c20914
берни	c36789
лонсестон	c29389
флайндерс-айленд	c39233
девонпорт	c36684
кинг-айленд	c36791
австралийская столичная территория	r21640
канберра	c10144
новый южный уэльс	r21644
наррабри	c37120
олбери	c32615
ньюкасл	c24402
тари	c36788
тэмуорт	c36682
мори	c36685
меримбула	c36781
гриффит	c36783
ориндж	c36782
паркс	c36785
наррандера	c36784
графтон	c36787
батерст	c36786
лорд-хау	c29204
уогга-уогга	c36657
армидейл	c36656
маджи	c37119
порт-маккуори	c32139
сидней	c10145
брокен хилл	c24403
кобар	c37002
лисмор	c29180
даббо	c38409
баллина	c35804
кофс-харбор	c29217
объединённые арабские эмираты	l210
эмират дубай	r23051
шарджа	c20843
дубай	c11499
эмират абу-даби	r23049
абу-даби	c11498
аль-айн	c32779
ирак	l20572
мухафаза ди-кар	r23488
насирия	c37943
мухафаза наджаф	r23493
ан-наджаф	c37942
мухафаза нинава	r23495
мосул	c28359
мухафаза эрбиль	r23497
эрбил	c22337
мухафаза басра	r23487
басра	c28358
мухафаза сулеймания	r23499
сулеймания	c26980
мухафаза багдад	r23482
багдад	c20573
остров святой елены (великобритания)	l21632
панама	l21299
дарьен	r21646
ла-пальма	c26385
индия	l994
химачал-прадеш	r22744
дарамсала	c26820
пенджаб	r22736
амритсар	c26816
джаландхар	c34690
лудхияна	c29429
патханкот	c37640
андаманские и никобарские острова	r22746
порт-блэр	c29411
уттар-прадеш	r22742
горакхпур	c29583
агра	c20761
варанаси	c29413
лакхнау	c10566
аллахабад	c10554
аурангабад	c29420
канпур	c29428
западная бенгалия	r22727
калькутта	c20005
дургапур	c36330
трипура	r22740
агартала	c29409
джамму и кашмир	r22725
джамму	c29415
сринагар	c29414
лех	c28914
пудучерри	r22750
пудуччери	c39579
чандигарх	r22751
чандигарх	c29419
тамилнад	r22739
мадурай	c21212
коямпуттур	c26815
тутикорин	c21111
ченнай	c20902
тиручирапалли	c29584
гоа	r21423
гоа	c26812
мегхалая	r22732
шиллонг	c29426
манипур	r22730
импхал	c29408
махараштра	r22731
мумбаи	c10558
пуна	c26814
нандед	c29783
нагпур	c21310
керала	r22673
тируванантапура	c26926
кочин	c26928
